Sample_ID,Extraction_date,DNA_conc_ng_uL,DNA_vol_uL,DNA_yield_ng,RNA_conc_ng_uL,RNA_vol_uL,RNA_yield_ng
046,11/29/20,2.01,48,96.48,44.3,48,2126.4
047,11/29/20,10.7,48,513.6,120,48,5760
048,11/29/20,7.66,48,367.68,53.1,48,2548.8
049,11/29/20,5.23,48,251.04,109,48,5232
050,11/29/20,6.87,48,329.76,101,48,4848
051,11/29/20,13.8,48,662.4,61.4,48,2947.2
052,11/29/20,9.81,48,470.88,19.2,48,921.6
053,11/29/20,14.1,48,676.8,99.7,48,4785.6
054,11/29/20,26.8,48,1286.4,147,48,7056
055,11/29/20,9.68,48,464.64,81.1,48,3892.8
056,11/29/20,10.6,48,508.8,18.8,48,902.4
057,11/29/20,6.38,48,306.24,21.3,48,1022.4
058,11/29/20,10.5,48,504,12.2,48,585.6
059,11/29/20,11.3,48,542.4,36.7,48,1761.6
060,11/29/20,,48,,31.3,48,1502.4
061,11/30/20,26.4,48,1267.2,149,48,7152
062,11/30/20,45.2,48,2169.6,162,48,7776
063,11/30/20,66.2,48,3177.6,128,48,6144
064,11/30/20,44.9,48,2155.2,83.2,48,3993.6
065,11/30/20,49.2,48,2361.6,166,48,7968
066,11/30/20,57.4,48,2755.2,210,48,10080
067,11/30/20,53.6,48,2572.8,169,48,8112
068,11/30/20,60.5,48,2904,157,48,7536
069,11/30/20,44.9,48,2155.2,137,48,6576
070,11/30/20,52.5,48,2520,190,48,9120
071,11/30/20,29.8,48,1430.4,217,48,10416
072,11/30/20,50.1,48,2404.8,227,48,10896
073,11/30/20,48.5,48,2328,209,48,10032
074,11/30/20,42.7,48,2049.6,263,48,12624
075,11/30/20,52.3,48,2510.4,250,48,12000
076,11/30/20,50.4,48,2419.2,192,48,9216
077,11/30/20,62.5,48,3000,184,48,8832
078,11/30/20,71.7,48,3441.6,124,48,5952
079,11/30/20,44.4,48,2131.2,173,48,8304
080,11/30/20,73,48,3504,179,48,8592
081,11/30/20,35.8,48,1718.4,211,48,10128
082,11/30/20,43.3,48,2078.4,171,48,8208
083,11/30/20,46.7,48,2241.6,150,48,7200
084,11/30/20,44.9,48,2155.2,162,48,7776
085,11/30/20,18.5,48,888,221,48,10608
086,11/30/20,22.9,48,1099.2,119,48,5712
087,11/30/20,28.3,48,1358.4,158,48,7584
088,11/30/20,32.6,48,1564.8,144,48,6912
089,11/30/20,24.2,48,1161.6,97,48,4656
090,11/30/20,20.4,48,979.2,108,48,5184
091,11/30/20,22.8,48,1094.4,212,48,10176
